animalRecoded,sireRecoded,damRecoded
1106,2499,2060
1107,8593,73
1108,497,5232
1109,NULL,5276
1110,717,10506
1111,4021,10321
1112,4415,9337
1113,6780,6975
1114,2792,10283
1115,3093,2640
1116,9982,808
1117,5987,9700
1118,3235,6850
1119,3593,2699
1120,8262,10634
1121,361,3521
1122,676,1436
1123,4007,9708
1124,8674,2911
1125,8626,1191
1126,5868,2518
1127,1587,NULL
1128,10112,7224
1129,6085,7236
1130,5260,7255
1131,NULL,NULL
1132,717,2053
1133,NULL,NULL
1134,2695,2773
1135,181,9219
1136,7673,8687
1137,4851,9489
1138,2526,364
1139,6872,3817
1140,7432,5172
1141,8858,9013
1142,8539,2297
1143,NULL,NULL
1144,7848,2875
1145,5283,9667
1146,5550,2447
1147,9009,10153
1148,3713,6505
1149,6875,10783
1150,519,5753
1151,6380,2299
1152,3498,8396
1153,4482,967
1154,990,10456
1155,9984,8372
1156,2542,4111
1157,7673,7996
1158,7322,4045
1159,407,7631
1160,5987,10104
1161,532,8212
1162,3698,9777
1163,10251,1947
1164,2932,1252
1165,6833,3984
1166,NULL,NULL
1167,4951,4151
1168,2865,7562
1169,8564,10385
1170,7296,693
1171,456,7333
1172,1304,6957
1173,1587,NULL
1174,717,944
1175,9982,6974
1176,4415,4330
1177,3498,4054
1178,140,8151
1179,9827,5910
1180,2460,2778
1181,1604,4250
1182,7280,6539
1183,2280,11002
1184,NULL,NULL
1185,8445,4946
1186,7874,10766
1187,6848,9859
1188,3153,8933
1189,5235,3053
1190,5510,2945
1191,NULL,NULL
1192,10835,8128
1193,361,7343
1194,7353,9669
1195,10037,306
1196,2965,4976
1197,6006,477
1198,9841,NULL
1199,6333,2451
1200,7796,8103
1201,3671,5329
1202,9009,2924
1203,8947,5364
1204,5987,5442
1205,140,3086
1206,1752,7191
1207,717,5182
1208,3882,10177
1209,NULL,NULL
1210,NULL,NULL
1211,9403,NULL
1212,4131,9231
1213,9827,4716
1214,NULL,NULL
1215,8821,8353
1216,5262,2201
1217,NULL,NULL
1218,7438,4721
1219,NULL,NULL
1220,357,2783
1221,5083,10218
1222,4482,3332
1223,4456,2682
1224,6326,4212
1225,8865,8565
1226,NULL,2710
1227,7976,7174
1228,5116,9781
1229,NULL,NULL
1230,1463,10707
1231,3428,6045
1232,949,5395
1233,2455,7460
1234,10999,9679
1235,NULL,8342
1236,3153,553
1237,1294,3285
1238,3574,7278
1239,6380,8722
1240,8284,7566
1241,NULL,NULL
1242,1396,3395
1243,4131,2688
1244,1463,4898
1245,9720,3663
1246,717,4358
1247,10575,10145
1248,1527,302
1249,7609,1131
1250,NULL,NULL
1251,NULL,NULL
1252,6833,10102
1253,376,509
1254,1123,1597
1255,NULL,8764
1256,6241,9008
1257,9984,1891
1258,7725,NULL
1259,6875,3090
1260,9496,5552
1261,NULL,NULL
1262,532,3203
1263,212,95
1264,NULL,NULL
1265,191,10855
1266,7280,9673
1267,5987,4458
1268,857,2924
1269,7848,3059
1270,2932,3328
1271,3195,4861
1272,NULL,NULL
1273,8750,9833
1274,2737,3983
1275,1931,5398
1276,6221,773
1277,10711,9781
1278,9074,7628
1279,519,10011
1280,NULL,NULL
1281,5987,3890
1282,6557,7289
1283,8947,5257
1284,833,124
1285,6735,2189
1286,5537,10230
1287,5283,3693
1288,10027,9633
1289,4885,8779
1290,1781,7431
1291,2204,4049
1292,6462,2863
1293,212,1490
1294,7074,5981
1295,9987,6196
1296,1039,8352
1297,7659,6500
1298,7976,457
1299,9619,4968
1300,3934,3979
1301,7848,10952
1302,922,10639
1303,5665,9210
1304,5693,9061
1305,NULL,NULL
1306,9706,1340
1307,9993,590
1308,13,9316
1309,6879,7592
1310,5193,7891
1311,3428,3372
1312,3628,1326
1313,6462,10586
1314,NULL,NULL
1315,1254,10707
1316,7976,9277
1317,4597,2702
1318,1304,9942
1320,746,3972
1321,8401,5038
1322,5750,6355
1323,4644,10707
1324,7132,1909
1325,730,4344
1326,8858,4767
1327,949,3532
1328,833,10233
1329,2526,754
1330,6532,7137
1331,3225,881
1332,NULL,NULL
1333,1039,7356
1334,9312,917
1335,7071,5728
1336,5282,7140
1337,3235,5346
1338,6487,6900
1339,7613,4403
1340,6462,6572
1341,746,10483
1342,5550,4971
1343,5034,3561
1344,4951,1225
1345,9442,10822
1346,4307,7014
1347,7788,5689
1348,5729,1193
1349,6875,8397
1350,3882,9667
1351,5129,8617
1352,4928,2393
1353,6925,NULL
1354,4644,9665
1355,1781,5712
1356,532,6479
1357,4644,8960
1358,NULL,NULL
1359,3136,4000
1360,5116,10676
1361,3216,3537
1362,8865,4416
1363,9398,9113
1364,9009,7456
1365,327,8685
1366,1781,107
1368,7842,1441
1369,10711,8718
1370,3579,NULL
1371,5665,10809
1372,4986,3151
1373,3882,8584
1374,8865,4642
1375,6735,842
1376,6221,1323
1377,3934,6957
1378,8869,7467
1379,3842,6591
1381,NULL,NULL
1382,5987,6323
1383,9009,7369
1384,6848,10621
1385,7353,6713
1386,3355,9023
1387,4624,NULL
1388,3574,3918
1389,10985,1422
1390,5820,7835
1391,8079,9215
1392,8821,1091
1393,NULL,NULL
1394,10074,NULL
1395,5221,1028
1396,4094,4003
1397,7874,8201
1398,3574,814
1399,9739,NULL
1400,4603,885
1401,5283,8397
1402,519,2437
1403,361,6667
1404,4646,8642
1405,9984,7602
1406,4482,1091
1407,5129,6260
1408,9739,NULL
1409,361,2786
1410,8865,2267
1411,6221,9458
1412,7426,6091
1413,6344,5486
1414,NULL,NULL
1415,1247,588
1416,2526,5395
1417,9009,2391
1418,10428,7785
1419,5537,8565
1420,327,8685
1421,8670,63
1422,1818,973
1423,8865,7103
1424,1603,8397
1425,6653,508
1426,990,5525
1427,NULL,NULL
1428,3498,8199
1429,NULL,NULL
1430,241,544
1431,5665,7414
1432,3704,8811
1433,5571,5367
1434,361,6667
1435,NULL,NULL
1436,4094,11003
1437,10999,2269
1438,5235,10404
1439,5397,3490
1440,4951,6895
1441,NULL,NULL
1442,1214,7036
1443,6326,3732
1445,6411,10375
1446,2526,9013
1447,361,10456
1448,5221,10760
1449,5235,625
1450,746,8152
1451,2526,4997
1452,519,10644
1453,8865,99
1454,8168,1427
1455,NULL,NULL
1456,9766,1660
1457,6380,10663
1458,9631,NULL
1459,717,9414
1460,10118,NULL
1461,8925,8563
1462,NULL,NULL
1463,724,3088
1464,1843,7118
1465,1039,372
1466,8252,10088
1467,10835,5388
1468,8664,5101
1469,7848,6245
1470,802,7948
1471,NULL,NULL
1472,8548,2429
1473,5167,2738
1474,5116,1473
1475,7851,NULL
1476,8858,8125
1477,494,10365
1478,3703,5966
1479,6848,10183
1480,8263,8811
1481,3698,2799
1482,7963,2153
1483,9607,9301
1484,3498,43
1485,9697,6049
1486,6324,4342
1487,NULL,NULL
1488,7963,226
1489,738,2318
1490,10037,10637
1491,10107,9129
1492,3214,1148
1493,6943,10420
1494,860,6032
1495,7848,7816
1496,5550,3956
1497,NULL,10698
1498,4213,10011
1499,485,10238
1500,6848,618
1501,7927,3631
1502,7976,5058
1503,565,5332
1504,10176,10243
1505,NULL,NULL
1506,NULL,NULL
1507,1843,3091
1508,4853,8100
1509,5868,2682
1510,NULL,NULL
1511,10288,8287
1512,2280,6323
1513,3703,9771
1514,922,847
1515,4597,3980
1516,7848,8825
1517,717,3105
1518,7848,1490
1519,9991,NULL
1520,NULL,NULL
1521,1576,3916
1522,1818,6917
1523,5221,8238
1524,361,7330
1525,NULL,NULL
1526,10835,9103
1528,215,7557
1529,3768,9020
1530,6990,50
1531,5565,8050
1532,8737,8213
1533,415,5015
1534,6499,4884
1535,3253,8408
1536,9835,1550
1537,5224,4121
1538,1995,3605
1540,NULL,NULL
1541,825,2661
1542,7749,9184
1543,8119,6255
1544,949,2774
1545,4779,3172
1546,NULL,NULL
1547,2932,771
1548,5116,5658
1549,215,3982
1550,3066,7473
1551,3216,9717
1552,5282,226
1553,7848,2741
1554,3225,6745
1555,6326,661
1556,6464,8496
1557,9858,9159
1558,6833,3727
1559,7659,2205
1560,1915,8198
1561,456,4540
1563,2932,3966
1564,3185,6795
1565,7296,9812
1566,9496,6314
1567,1463,2201
1568,NULL,NULL
1569,2280,5524
1570,1843,10506
1571,212,9492
1572,4599,7676
1573,3671,5441
1574,1039,1349
1575,NULL,NULL
1576,5295,2716
1577,8947,9351
1578,5537,3123
1579,4795,2538
1580,834,4404
1581,10582,9927
1582,NULL,10517
1583,NULL,NULL
1584,9363,6387
1585,9074,7690
1586,2526,7436
1589,339,7471
1590,5283,10798
1591,8102,NULL
1592,5750,6168
1593,5397,6994
1594,7825,10113
1595,6462,799
1596,9355,4753
1597,41,2194
1598,4195,4735
1599,NULL,1477
1600,860,1534
1601,2998,4141
1602,NULL,NULL
1603,5135,8271
1604,NULL,NULL
1605,8865,8764
1606,519,3395
1607,NULL,NULL
1608,7291,2198
1609,3486,5781
1610,1254,8569
1611,7848,9489
1612,9398,95
1613,6651,1178
1614,5750,5454
1615,NULL,NULL
1616,3253,10077
1617,361,6662
1618,2865,4338
1619,4697,NULL
1620,1788,3847
1621,3498,768
1622,6653,3939
1623,1463,4886
1624,NULL,NULL
1625,738,10734
1626,NULL,NULL
1627,3713,6755
1628,3593,8181
1629,5588,1536
1630,9244,10567
1631,3671,10120
1632,7438,9358
1633,3308,6445
1634,327,2849
1635,361,82
1636,NULL,NULL
1637,6780,2973
1638,NULL,NULL
1639,834,2454
1640,NULL,NULL
1641,7848,9894
1642,3671,3795
1643,6735,4946
1644,98,8574
1645,7848,814
1646,NULL,NULL
1647,5357,8565
1648,10835,2289
1649,NULL,5662
1650,4456,1252
1651,857,2208
1652,6620,7530
1653,717,6505
1654,4213,4385
1655,7848,9829
1656,1752,2153
1657,5636,10100
1658,3225,3226
1659,5034,9927
1660,NULL,NULL
1661,10835,8049
1662,10194,3922
1663,5357,2379
1664,10167,7238
1665,8947,394
