recodedId,QC_RTL,TL_Quartiles,CULL_DATE,CutoffDate,Survival,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y
1771,0.924776213,1,NULL,01/01/2017,2314,75.86885246,6.339726027,0,-0.013945918,2
1825,1.627742255,4,30/10/2013,01/01/2017,1762,57.7704918,4.82739726,1,0.364748946,0
1825,1.028511726,2,30/10/2013,01/01/2017,1762,57.7704918,4.82739726,1,-0.20616428,1
1825,1.278208932,4,30/10/2013,01/01/2017,1762,57.7704918,4.82739726,1,0.099532402,2
1825,1.23149399,4,30/10/2013,01/01/2017,1762,57.7704918,4.82739726,1,-0.051291173,3
1825,1.23149399,4,30/10/2013,01/01/2017,1762,57.7704918,4.82739726,1,-0.051291173,4
1885,0.926899342,1,NULL,01/01/2017,2350,77.04918033,6.438356164,0,-0.098950833,0
1885,0.924812042,1,NULL,01/01/2017,2350,77.04918033,6.438356164,0,-0.015655653,1
1885,1.003487429,2,NULL,01/01/2017,2350,77.04918033,6.438356164,0,0.06252197,2
1885,0.967807925,2,NULL,01/01/2017,2350,77.04918033,6.438356164,0,-0.004293176,3
1885,0.967807925,2,NULL,01/01/2017,2350,77.04918033,6.438356164,0,-0.004293176,4
1939,1.276800447,3,NULL,01/01/2017,2889,94.72131148,7.915068493,0,0.09137707,0
1939,1.313274044,4,NULL,01/01/2017,2889,94.72131148,7.915068493,0,-0.078307231,1
1939,1.01568255,2,NULL,01/01/2017,2889,94.72131148,7.915068493,0,-0.117424536,2
1939,1.341071838,4,NULL,01/01/2017,2889,94.72131148,7.915068493,0,0.211787721,3
1939,1.341071838,4,NULL,01/01/2017,2889,94.72131148,7.915068493,0,0.211787721,4
1939,1.285210742,4,NULL,01/01/2017,2889,94.72131148,7.915068493,0,0.152109294,5
1945,0.944382992,1,NULL,01/01/2017,2413,79.1147541,6.610958904,0,-0.113375183,0
1945,1.059520945,3,NULL,01/01/2017,2413,79.1147541,6.610958904,0,0.107927688,1
1945,0.833563444,1,NULL,01/01/2017,2413,79.1147541,6.610958904,0,-0.186499605,2
1945,1.086691737,3,NULL,01/01/2017,2413,79.1147541,6.610958904,0,0.120017175,3
1945,1.086691737,3,NULL,01/01/2017,2413,79.1147541,6.610958904,0,0.120017175,4
1973,1.090485925,2,09/07/2014,01/01/2017,1593,52.2295082,4.364383562,1,0.016171578,0
1973,1.197748115,4,09/07/2014,01/01/2017,1593,52.2295082,4.364383562,1,-0.011367438,1
1973,1.094743723,3,09/07/2014,01/01/2017,1593,52.2295082,4.364383562,1,0.11530045,4
1973,0.847099593,1,09/07/2014,01/01/2017,1593,52.2295082,4.364383562,1,-0.203500355,2
1973,1.094743723,3,09/07/2014,01/01/2017,1593,52.2295082,4.364383562,1,0.11530045,3
1980,1.114783232,2,16/01/2015,01/01/2017,2264,74.2295082,6.202739726,1,0.075292066,0
1980,0.933042364,1,16/01/2015,01/01/2017,2264,74.2295082,6.202739726,1,-0.110161748,1
1980,1.021342298,2,16/01/2015,01/01/2017,2264,74.2295082,6.202739726,1,-0.099501789,4
1980,1.005947934,2,16/01/2015,01/01/2017,2264,74.2295082,6.202739726,1,-0.01553539,2
1980,1.021342298,2,16/01/2015,01/01/2017,2264,74.2295082,6.202739726,1,-0.099501789,3
2010,0.934171011,1,18/08/2015,01/01/2017,1834,60.13114754,5.024657534,1,-0.056511224,0
2010,0.805733757,1,18/08/2015,01/01/2017,1834,60.13114754,5.024657534,1,-0.150888652,1
2010,0.85956489,1,18/08/2015,01/01/2017,1834,60.13114754,5.024657534,1,-0.104123787,3
2010,0.85956489,1,18/08/2015,01/01/2017,1834,60.13114754,5.024657534,1,-0.104123787,4
2035,0.920744233,1,07/03/2014,01/01/2017,641,21.01639344,1.756164384,1,0.002576499,0
2035,1.105109727,3,07/03/2014,01/01/2017,641,21.01639344,1.756164384,1,-0.010000271,1
2035,0.9133121,1,07/03/2014,01/01/2017,641,21.01639344,1.756164384,1,-0.069179806,2
2041,0.9015392,1,18/09/2013,01/01/2017,1033,33.86885246,2.830136986,1,-0.012391959,0
2041,0.945356759,1,18/09/2013,01/01/2017,1033,33.86885246,2.830136986,1,-0.074287183,1
2041,1.007293014,2,18/09/2013,01/01/2017,1033,33.86885246,2.830136986,1,-0.001476768,2
2042,0.944815532,1,03/11/2015,01/01/2017,2045,67.04918033,5.602739726,1,-0.004709294,0
2042,0.895145368,1,03/11/2015,01/01/2017,2045,67.04918033,5.602739726,1,-0.136922752,1
2042,0.858001887,1,03/11/2015,01/01/2017,2045,67.04918033,5.602739726,1,-0.060424289,2
2042,1.188312907,4,03/11/2015,01/01/2017,2045,67.04918033,5.602739726,1,0.124916478,3
2042,1.188312907,4,03/11/2015,01/01/2017,2045,67.04918033,5.602739726,1,0.124916478,4
2093,1.187818885,3,NULL,01/01/2017,2845,93.27868852,7.794520548,0,0.107223612,0
2093,1.051211457,2,NULL,01/01/2017,2845,93.27868852,7.794520548,0,0.031720557,1
2093,1.040282933,2,NULL,01/01/2017,2845,93.27868852,7.794520548,0,-0.078820436,2
2093,0.926370813,1,NULL,01/01/2017,2845,93.27868852,7.794520548,0,-0.048936939,3
2093,0.926370813,2,NULL,01/01/2017,2845,93.27868852,7.794520548,0,-0.048936939,4
2093,1.111409907,3,NULL,01/01/2017,2845,93.27868852,7.794520548,0,0.167956805,5
2187,0.874939528,1,14/08/2014,01/01/2017,904,29.63934426,2.476712329,1,-0.032894681,0
2187,0.942287613,1,14/08/2014,01/01/2017,904,29.63934426,2.476712329,1,-0.071809943,1
2187,0.776194475,1,14/08/2014,01/01/2017,904,29.63934426,2.476712329,1,-0.101552284,2
2210,1.392137648,4,06/08/2015,01/01/2017,1693,55.50819672,4.638356164,1,0.127385737,0
2210,1.179911213,4,06/08/2015,01/01/2017,1693,55.50819672,4.638356164,1,0.076365661,1
2210,1.11225011,3,06/08/2015,01/01/2017,1693,55.50819672,4.638356164,1,0.021399141,4
2210,1.103078942,3,06/08/2015,01/01/2017,1693,55.50819672,4.638356164,1,-0.098918207,2
2210,1.11225011,3,06/08/2015,01/01/2017,1693,55.50819672,4.638356164,1,0.021399141,3
2269,1.342424993,4,NULL,01/01/2017,2986,97.90163934,8.180821918,0,0.026720167,0
2269,1.266952941,4,22/07/2016,01/01/2017,2823,92.55737705,7.734246575,1,0.121725659,1
2269,1.038883961,2,22/07/2016,01/01/2017,2823,92.55737705,7.734246575,1,-0.074053224,2
2269,1.142219044,3,22/07/2016,01/01/2017,2823,92.55737705,7.734246575,1,0.007936839,2
2269,1.257777466,4,22/07/2016,01/01/2017,2823,92.55737705,7.734246575,1,0.056850054,3
2269,1.257777466,4,22/07/2016,01/01/2017,2823,92.55737705,7.734246575,1,0.056850054,4
2269,1.423943961,4,22/07/2016,01/01/2017,2823,92.55737705,7.734246575,1,0.154560734,5
2281,1.013855677,1,06/08/2015,01/01/2017,1671,54.78688525,4.578082192,1,-0.032620794,0
2281,0.9738807,2,06/08/2015,01/01/2017,1671,54.78688525,4.578082192,1,-0.045852881,1
2281,0.790950108,1,06/08/2015,01/01/2017,1671,54.78688525,4.578082192,1,-0.177682092,2
2281,1.319205617,4,06/08/2015,01/01/2017,1671,54.78688525,4.578082192,1,0.244013786,3
2281,1.319205617,4,06/08/2015,01/01/2017,1671,54.78688525,4.578082192,1,0.244013786,4
2298,1.277522545,3,06/08/2015,01/01/2017,2486,81.50819672,6.810958904,1,0.10307841,0
