ANIMAL_ID,SIRE_ID,DAM_ID
010000000990946811F,650000000218300711M,010000000944271011F
DUMMYHUK2351M,650000000189121311M,010000000966695811F
DUMMYHUK3133M,650000001724630311M,010000000988412911F
010000001097487811F,650000000225898311M,010000001030220311F
DUMMYHUK3520M,650000000201460711M,010000001054729311F
010000001110183211F,720006105101205711M,010000001067137211F
DUMMYHUK3584M,650000006004537511M,010000001164774111F
DUMMYHUK3983M,010000000062249211M,010000001164774111F
010000001220042111F,010000000062533111M,010000001164774111F
DUMMYHUK4238F,DUMMYHUK30M,010000001200047911F
DUMMYHUK1728M,120000000000283611M,010000000853248811F
DUMMYHUK1541M,120000000000283611M,010000000853248811F
DUMMYHUK2637M,010000000058144511M,010000000988156911F
DUMMYHUK2917M,720006105101208111M,010000000988156911F
010000000942493811F,630000077665452811M,010000000873841511F
DUMMYHUK1722M,120000000000283611M,010000000877132211F
010000000938499611F,630000077665452811M,010000000881196611F
DUMMYHUK1991M,650000000218300711M,010000000881196611F
DUMMYHUK1546M,010000000043811911M,010000000871716911F
DUMMYHUK2157M,630000083938054611M,010000000938498011F
DUMMYHUK2300M,720000090801767011M,010000000960268011F
010000001048292311F,010000000058195011M,010000000960268011F
DUMMYHUK2160M,010000000056944611M,010000000962372311F
DUMMYHUK3835M,010000000063052611M,010000001154343411F
DUMMYHUK4536F,DUMMYHUK89M,010000001205415711F
010000001145826111F,650000001805491811M,010000001032613411F
DUMMYHUK3901F,010000000062249211M,010000001132930511F
010000000968693811F,010000000042560511M,010000000921210711F
010000001069446811F,010000000058237411M,010000000921210711F
DUMMYHUK2309F,650000000228954811M,010000000940444811F
010000001011792711F,120000000000411811M,010000000965025611F
DUMMYHUK2770M,650000012235831311M,010000001048292311F
DUMMYHUK2666M,650000012235831311M,010000001048292311F
DUMMYHUK1607M,010000000043811911M,010000000881196511F
010000001027721511F,120000000000391511M,010000000917149911F
DUMMYHUK2744M,720006105101205711M,010000001063528811F
DUMMYHUK3752M,010000000062533111M,010000001158277111F
DUMMYHUK4054M,650000013296773411M,010000001158277111F
DUMMYHUK3625M,650000013227754111M,010000001169705311F
DUMMYHUK2966M,630000026598823311M,010000000988412911F
DUMMYHUK1510M,630000031834081011M,010000000874844711F
010000001116203511F,650000000225898311M,010000001030220311F
DUMMYHUK2712M,010000000058798411M,010000001054729311F
010000001157246511F,650000001802389211M,010000001054729311F
DUMMYHUK2989M,630000026598823311M,010000001054729311F
DUMMYHUK3364M,540000200097190511M,010000001144299311F
DUMMYHUK4306M,DUMMYHUK56M,010000001164774111F
DUMMYHUK1985M,600000002014002611M,010000000853248811F
200000000389014011F,200000000031031311M,200000000258265811F
200000000387009411F,200000000028098911M,200000000267857411F
DUMMYHUK1578M,DUMMYHUK110M,010000000873841511F
010000000985697311F,010000000046116511M,010000000877132211F
DUMMYHUK4135M,640000000751149411M,010000001150170011F
DUMMYHUK1698M,630000032082524211M,010000000853596711F
DUMMYHUK4097M,010000000065110111M,010000001154343411F
DUMMYHUK3453M,650000000201460711M,010000001154343411F
200000000243017811F,200000000021818111M,*
200000000282255811F,200000000029683111M,*
200000000124107411F,010000000019234311M,010000000066907411F
200000000220982011F,200000000027672511M,*
200000000222781411F,200000000026081111M,200000000171891611F
010000000018260211F,*,*
010000000018394611F,*,*
010000000020041211F,*,*
010000000020532811F,*,*
010000000021676011F,*,*
010000000021960811F,*,*
200000000028768011F,*,*
200000000030937411F,*,*
200000000031251211F,*,*
200000000031263811F,*,*
640000000019881811F,*,*
650000000138138811F,*,*
650000000906876611F,*,*
650000000908698721F,*,*
650000000936030211F,*,*
120000000001028611F,*,*
200000000074445011F,*,*
200000000279198811F,200000000023355911M,*
